user_id,formcontentid,reviewdate,rating,potential,lastpromotiondate,competencyscore,objectivecompletion,istopperformer
1025,FORM-2022,2022-12-15,2.03,Low,2022-09-18,1.79,47.49,No
1025,FORM-2023,2023-12-15,2.77,Medium,2022-09-18,2.54,54.39,No
1025,FORM-2024,2024-12-15,3.19,Medium,2022-09-18,3.31,64.05,No
1026,FORM-2022,2022-12-15,4.27,High,2021-04-19,4.34,88.0,No
1026,FORM-2023,2023-12-15,2.68,Medium,2021-04-19,2.46,46.61,No
1026,FORM-2024,2024-12-15,2.31,Low,2021-04-19,2.45,47.17,No
1027,FORM-2023,2023-12-15,2.63,Medium,2024-12-31,2.54,58.96,No
1027,FORM-2024,2024-12-15,2.85,Medium,2024-12-31,2.86,58.74,No
1028,FORM-2024,2024-12-15,2.75,Medium,,2.56,40.22,No
1029,FORM-2023,2023-12-15,1.97,Low,2024-12-31,2.06,35.94,No
1029,FORM-2024,2024-12-15,2.78,Medium,2024-12-31,2.35,50.8,No
1030,FORM-2024,2024-12-15,3.01,Medium,2024-12-31,3.02,53.73,No
1032,FORM-2023,2023-12-15,1.92,Low,,2.4,36.9,No
1032,FORM-2024,2024-12-15,2.45,Low,,2.11,44.31,No
1033,FORM-2024,2024-12-15,2.36,Low,,2.07,47.74,No
1034,FORM-2022,2022-12-15,3.27,Medium,2021-12-13,3.08,60.61,No
1034,FORM-2023,2023-12-15,3.02,Medium,2021-12-13,2.63,61.12,No
1034,FORM-2024,2024-12-15,3.33,Medium,2021-12-13,3.28,65.73,No
1035,FORM-2022,2022-12-15,3.12,Medium,2020-05-14,3.32,58.51,No
1035,FORM-2023,2023-12-15,2.37,Low,2020-05-14,2.42,52.53,No
1035,FORM-2024,2024-12-15,2.78,Medium,2020-05-14,2.76,54.44,No
1036,FORM-2022,2022-12-15,3.77,Medium,2022-02-15,3.93,72.98,No
1036,FORM-2023,2023-12-15,4.15,High,2022-02-15,4.25,95.9,No
1036,FORM-2024,2024-12-15,3.49,Medium,2022-02-15,3.78,74.62,No
1037,FORM-2024,2024-12-15,1.89,Low,,2.03,41.47,No
1038,FORM-2023,2023-12-15,3.1,Medium,2024-12-31,2.48,66.47,No
1038,FORM-2024,2024-12-15,2.75,Medium,2024-12-31,2.71,44.35,No
1039,FORM-2023,2023-12-15,2.8,Medium,,2.34,52.48,No
1039,FORM-2024,2024-12-15,2.22,Low,,2.22,35.5,No
1040,FORM-2022,2022-12-15,3.63,Medium,2022-07-03,3.75,70.42,No
1040,FORM-2023,2023-12-15,3.26,Medium,2022-07-03,2.57,74.83,No
1040,FORM-2024,2024-12-15,3.29,Medium,2022-07-03,3.45,66.9,No
1043,FORM-2022,2022-12-15,3.43,Medium,2024-10-17,3.6,64.76,No
1043,FORM-2023,2023-12-15,3.91,Medium,2024-10-17,4.3,79.41,No
1043,FORM-2024,2024-12-15,3.32,Medium,2024-10-17,3.56,68.88,No
1045,FORM-2022,2022-12-15,3.66,Medium,2022-07-18,3.57,73.95,No
1045,FORM-2023,2023-12-15,4.23,High,2022-07-18,4.1,89.34,No
1045,FORM-2024,2024-12-15,4.83,High,2022-07-18,4.98,96.22,Yes
1046,FORM-2022,2022-12-15,4.13,High,2023-08-07,4.02,75.88,No
1046,FORM-2023,2023-12-15,3.47,Medium,2023-08-07,3.13,75.17,No
1046,FORM-2024,2024-12-15,3.61,Medium,2023-08-07,3.15,75.26,No
1047,FORM-2022,2022-12-15,4.03,High,2024-12-31,4.11,72.55,No
1047,FORM-2023,2023-12-15,3.29,Medium,2024-12-31,3.73,62.17,No
1047,FORM-2024,2024-12-15,4.08,High,2024-12-31,4.11,73.29,No
1049,FORM-2022,2022-12-15,1.76,Low,,1.88,33.34,No
1049,FORM-2023,2023-12-15,2.36,Low,,2.62,37.46,No
1049,FORM-2024,2024-12-15,2.47,Low,,2.76,54.46,No
1050,FORM-2022,2022-12-15,3.71,Medium,2021-03-12,3.83,77.95,No
1050,FORM-2023,2023-12-15,3.41,Medium,2021-03-12,3.04,73.39,No
1050,FORM-2024,2024-12-15,3.88,Medium,2021-03-12,4.33,73.74,No
1051,FORM-2022,2022-12-15,3.9,Medium,2024-12-31,4.11,80.96,No
1051,FORM-2023,2023-12-15,3.41,Medium,2024-12-31,3.17,66.45,No
1051,FORM-2024,2024-12-15,3.15,Medium,2024-12-31,3.16,56.72,No
1052,FORM-2023,2023-12-15,2.62,Medium,,3.07,47.13,No
1052,FORM-2024,2024-12-15,2.77,Medium,,2.3,58.41,No
1053,FORM-2022,2022-12-15,3.53,Medium,2022-12-28,3.3,73.91,No
1053,FORM-2023,2023-12-15,3.45,Medium,2022-12-28,3.9,69.68,No
1053,FORM-2024,2024-12-15,3.6,Medium,2022-12-28,3.56,65.27,No
1054,FORM-2022,2022-12-15,4.7,High,2024-12-31,4.75,95.83,Yes
1054,FORM-2023,2023-12-15,3.44,Medium,2024-12-31,3.07,60.64,No
1054,FORM-2024,2024-12-15,2.56,Medium,2024-12-31,2.89,54.21,No
1055,FORM-2024,2024-12-15,3.23,Medium,2024-12-31,2.87,59.61,No
1058,FORM-2022,2022-12-15,2.9,Medium,2023-08-20,2.59,63.24,No
1058,FORM-2023,2023-12-15,2.55,Medium,2023-08-20,2.48,50.4,No
1058,FORM-2024,2024-12-15,1.86,Low,2023-08-20,2.06,37.44,No
1059,FORM-2022,2022-12-15,2.74,Medium,2024-12-31,2.64,52.8,No
1059,FORM-2023,2023-12-15,3.33,Medium,2024-12-31,3.42,73.83,No
1059,FORM-2024,2024-12-15,4.02,High,2024-12-31,3.67,76.33,No
1060,FORM-2022,2022-12-15,1.96,Low,2024-01-08,2.01,33.21,No
1060,FORM-2023,2023-12-15,3.09,Medium,2024-01-08,3.29,67.07,No
1060,FORM-2024,2024-12-15,3.05,Medium,2024-01-08,2.99,51.27,No
1061,FORM-2022,2022-12-15,4.49,High,2023-07-07,5.0,89.24,No
1061,FORM-2023,2023-12-15,3.62,Medium,2023-07-07,3.33,70.07,No
1061,FORM-2024,2024-12-15,3.41,Medium,2023-07-07,3.26,78.74,No
1062,FORM-2022,2022-12-15,4.01,High,2022-11-26,3.85,77.75,No
1062,FORM-2023,2023-12-15,3.97,Medium,2022-11-26,3.57,82.29,No
1062,FORM-2024,2024-12-15,3.83,Medium,2022-11-26,4.05,78.73,No
1063,FORM-2022,2022-12-15,3.52,Medium,2025-01-27,3.35,78.72,No
1063,FORM-2023,2023-12-15,4.06,High,2025-01-27,4.21,84.76,No
1063,FORM-2024,2024-12-15,3.8,Medium,2025-01-27,3.53,86.79,No
1064,FORM-2022,2022-12-15,2.85,Medium,2024-08-26,3.17,56.46,No
1064,FORM-2023,2023-12-15,3.5,Medium,2024-08-26,3.28,62.1,No
1064,FORM-2024,2024-12-15,2.81,Medium,2024-08-26,2.69,60.17,No
1067,FORM-2023,2023-12-15,3.12,Medium,2024-12-31,2.73,57.95,No
1067,FORM-2024,2024-12-15,2.25,Low,2024-12-31,2.06,44.44,No
1068,FORM-2022,2022-12-15,3.54,Medium,2023-10-23,3.83,73.31,No
1068,FORM-2023,2023-12-15,3.43,Medium,2023-10-23,3.75,74.06,No
1068,FORM-2024,2024-12-15,3.95,Medium,2023-10-23,3.86,90.62,No
1069,FORM-2022,2022-12-15,2.9,Medium,,2.63,58.97,No
1069,FORM-2023,2023-12-15,2.08,Low,,2.3,35.43,No
1069,FORM-2024,2024-12-15,2.18,Low,,2.03,46.48,No
1070,FORM-2022,2022-12-15,3.33,Medium,2024-12-31,3.33,53.7,No
1070,FORM-2023,2023-12-15,4.28,High,2024-12-31,3.61,86.66,No
1070,FORM-2024,2024-12-15,3.97,Medium,2024-12-31,3.85,86.0,No
1072,FORM-2023,2023-12-15,3.06,Medium,,3.33,68.0,No
1072,FORM-2024,2024-12-15,2.66,Medium,,2.57,54.78,No
1073,FORM-2022,2022-12-15,3.5,Medium,2023-10-21,3.49,55.59,No
1073,FORM-2023,2023-12-15,2.11,Low,2023-10-21,2.56,37.26,No
1073,FORM-2024,2024-12-15,2.64,Medium,2023-10-21,2.88,58.18,No
1074,FORM-2022,2022-12-15,2.78,Medium,,2.82,42.87,No
1074,FORM-2023,2023-12-15,3.61,Medium,,3.52,78.74,No
1074,FORM-2024,2024-12-15,2.57,Medium,,2.44,49.8,No
1075,FORM-2022,2022-12-15,3.77,Medium,2024-12-31,4.18,67.64,No
1075,FORM-2023,2023-12-15,4.05,High,2024-12-31,4.5,77.94,No
1075,FORM-2024,2024-12-15,3.87,Medium,2024-12-31,3.58,87.27,No
1076,FORM-2022,2022-12-15,2.38,Low,2024-06-03,2.54,35.8,No
1076,FORM-2023,2023-12-15,2.52,Medium,2024-06-03,2.58,43.72,No
1076,FORM-2024,2024-12-15,2.82,Medium,2024-06-03,2.48,56.93,No
1077,FORM-2022,2022-12-15,3.26,Medium,2024-09-30,2.99,66.79,No
1077,FORM-2023,2023-12-15,2.9,Medium,2024-09-30,3.06,53.1,No
1077,FORM-2024,2024-12-15,4.65,High,2024-09-30,4.52,87.71,Yes
1078,FORM-2024,2024-12-15,2.55,Medium,,2.8,36.39,No
1079,FORM-2022,2022-12-15,3.53,Medium,2024-11-23,3.84,64.36,No
1079,FORM-2023,2023-12-15,3.24,Medium,2024-11-23,2.84,62.72,No
1079,FORM-2024,2024-12-15,3.22,Medium,2024-11-23,3.33,55.39,No
1080,FORM-2022,2022-12-15,3.16,Medium,2023-08-15,3.11,59.55,No
1080,FORM-2023,2023-12-15,3.28,Medium,2023-08-15,3.04,60.26,No
1080,FORM-2024,2024-12-15,4.01,High,2023-08-15,4.12,82.73,No
1081,FORM-2022,2022-12-15,4.38,High,2025-01-18,4.48,85.77,No
1081,FORM-2023,2023-12-15,4.14,High,2025-01-18,4.08,93.27,No
1081,FORM-2024,2024-12-15,3.95,Medium,2025-01-18,3.96,88.38,No
1082,FORM-2022,2022-12-15,4.26,High,2024-12-31,4.08,88.07,No
1082,FORM-2023,2023-12-15,3.21,Medium,2024-12-31,3.15,65.25,No
1082,FORM-2024,2024-12-15,3.92,Medium,2024-12-31,3.88,72.67,No
1083,FORM-2022,2022-12-15,4.05,High,2023-04-02,4.19,76.95,No
1083,FORM-2023,2023-12-15,3.84,Medium,2023-04-02,3.96,79.75,No
1083,FORM-2024,2024-12-15,4.03,High,2023-04-02,4.15,84.23,No
1084,FORM-2022,2022-12-15,2.86,Medium,,2.97,54.15,No
1084,FORM-2023,2023-12-15,2.67,Medium,,2.5,49.89,No
1084,FORM-2024,2024-12-15,2.67,Medium,,2.68,49.34,No
1085,FORM-2022,2022-12-15,3.68,Medium,2024-12-04,3.49,76.37,No
1085,FORM-2023,2023-12-15,2.73,Medium,2024-12-04,3.06,57.53,No
1085,FORM-2024,2024-12-15,3.63,Medium,2024-12-04,3.63,64.63,No
1086,FORM-2022,2022-12-15,3.02,Medium,2022-08-25,3.04,58.17,No
1086,FORM-2023,2023-12-15,4.01,High,2022-08-25,4.27,82.69,No
1086,FORM-2024,2024-12-15,3.37,Medium,2022-08-25,3.53,63.74,No
1087,FORM-2022,2022-12-15,3.6,Medium,2024-01-10,3.75,68.88,No
1087,FORM-2023,2023-12-15,4.13,High,2024-01-10,4.04,82.78,No
1087,FORM-2024,2024-12-15,4.04,High,2024-01-10,4.09,75.81,No
1088,FORM-2022,2022-12-15,3.68,Medium,2024-12-31,3.74,70.94,No
1088,FORM-2023,2023-12-15,3.6,Medium,2024-12-31,3.84,70.84,No
1088,FORM-2024,2024-12-15,4.72,High,2024-12-31,4.68,88.27,Yes
1089,FORM-2023,2023-12-15,2.38,Low,,2.61,44.13,No
1089,FORM-2024,2024-12-15,3.06,Medium,,3.06,63.57,No
1090,FORM-2022,2022-12-15,3.49,Medium,2022-01-11,3.5,69.77,No
1090,FORM-2023,2023-12-15,4.37,High,2022-01-11,4.25,78.03,No
1090,FORM-2024,2024-12-15,3.3,Medium,2022-01-11,3.13,69.82,No
1091,FORM-2022,2022-12-15,2.95,Medium,2023-10-09,2.71,57.17,No
1091,FORM-2023,2023-12-15,3.39,Medium,2023-10-09,3.37,60.1,No
1091,FORM-2024,2024-12-15,3.24,Medium,2023-10-09,3.48,67.16,No
1092,FORM-2022,2022-12-15,4.04,High,2024-04-05,3.85,79.11,No
1092,FORM-2023,2023-12-15,3.23,Medium,2024-04-05,3.37,69.67,No
1092,FORM-2024,2024-12-15,3.73,Medium,2024-04-05,3.64,69.6,No
1093,FORM-2022,2022-12-15,2.89,Medium,2022-08-19,3.31,53.49,No
1093,FORM-2023,2023-12-15,3.06,Medium,2022-08-19,3.29,60.62,No
1093,FORM-2024,2024-12-15,2.3,Low,2022-08-19,2.38,55.16,No
1094,FORM-2022,2022-12-15,3.93,Medium,2024-02-14,3.92,78.29,No
1094,FORM-2023,2023-12-15,2.79,Medium,2024-02-14,2.87,52.91,No
1094,FORM-2024,2024-12-15,3.39,Medium,2024-02-14,3.7,62.08,No
1095,FORM-2022,2022-12-15,3.45,Medium,2022-04-01,3.14,71.02,No
1095,FORM-2023,2023-12-15,2.7,Medium,2022-04-01,2.76,54.7,No
1095,FORM-2024,2024-12-15,3.77,Medium,2022-04-01,3.45,72.77,No
1096,FORM-2022,2022-12-15,3.44,Medium,2024-12-31,3.62,58.42,No
1096,FORM-2023,2023-12-15,3.65,Medium,2024-12-31,3.77,74.04,No
1096,FORM-2024,2024-12-15,3.08,Medium,2024-12-31,3.36,61.95,No
1097,FORM-2023,2023-12-15,3.0,Medium,,2.89,60.21,No
1097,FORM-2024,2024-12-15,2.6,Medium,,2.49,65.27,No
1098,FORM-2022,2022-12-15,3.71,Medium,2022-08-02,3.79,70.34,No
1098,FORM-2023,2023-12-15,3.57,Medium,2022-08-02,3.53,67.11,No
1098,FORM-2024,2024-12-15,3.38,Medium,2022-08-02,3.39,65.1,No
1099,FORM-2022,2022-12-15,4.46,High,2024-11-30,4.41,85.24,No
1099,FORM-2023,2023-12-15,3.71,Medium,2024-11-30,4.15,64.57,No
1099,FORM-2024,2024-12-15,4.01,High,2024-11-30,3.75,77.25,No
1100,FORM-2022,2022-12-15,3.15,Medium,2024-08-21,3.03,54.68,No
1100,FORM-2023,2023-12-15,3.55,Medium,2024-08-21,3.47,70.12,No
1100,FORM-2024,2024-12-15,3.98,Medium,2024-08-21,4.05,79.13,No
1101,FORM-2022,2022-12-15,3.6,Medium,2017-10-20,3.64,79.23,No
1101,FORM-2023,2023-12-15,3.02,Medium,2017-10-20,2.86,52.25,No
1101,FORM-2024,2024-12-15,1.55,Low,2017-10-20,1.44,24.07,No
1102,FORM-2022,2022-12-15,3.39,Medium,2024-08-22,3.71,54.24,No
1102,FORM-2023,2023-12-15,3.74,Medium,2024-08-22,3.36,63.68,No
1102,FORM-2024,2024-12-15,4.52,High,2024-08-22,4.71,72.56,Yes
1103,FORM-2022,2022-12-15,3.17,Medium,,3.11,72.36,No
1103,FORM-2023,2023-12-15,2.04,Low,,2.09,41.51,No
1103,FORM-2024,2024-12-15,1.46,Low,,1.49,33.98,No
1105,FORM-2024,2024-12-15,2.02,Low,,2.15,44.35,No
1106,FORM-2022,2022-12-15,3.86,Medium,2024-03-25,4.14,81.04,No
1106,FORM-2023,2023-12-15,4.66,High,2024-03-25,4.72,99.44,Yes
1106,FORM-2024,2024-12-15,3.78,Medium,2024-03-25,3.95,77.65,No
1107,FORM-2022,2022-12-15,4.07,High,2021-12-29,4.26,79.5,No
1107,FORM-2023,2023-12-15,3.69,Medium,2021-12-29,3.24,75.17,No
1107,FORM-2024,2024-12-15,3.26,Medium,2021-12-29,3.07,62.9,No
1108,FORM-2022,2022-12-15,2.83,Medium,,2.97,59.38,No
1108,FORM-2023,2023-12-15,2.41,Low,,2.48,42.85,No
1108,FORM-2024,2024-12-15,3.27,Medium,,3.68,61.8,No
1109,FORM-2022,2022-12-15,3.23,Medium,2024-12-31,2.94,59.03,No
1109,FORM-2023,2023-12-15,3.38,Medium,2024-12-31,3.46,68.69,No
1109,FORM-2024,2024-12-15,4.27,High,2024-12-31,4.32,86.67,No
1110,FORM-2022,2022-12-15,2.8,Medium,2024-12-08,3.19,65.67,No
1110,FORM-2023,2023-12-15,2.55,Medium,2024-12-08,2.63,49.45,No
1110,FORM-2024,2024-12-15,2.82,Medium,2024-12-08,2.68,49.5,No
1111,FORM-2022,2022-12-15,2.81,Medium,2024-01-13,3.05,64.46,No
1111,FORM-2023,2023-12-15,3.42,Medium,2024-01-13,3.46,76.47,No
1111,FORM-2024,2024-12-15,2.91,Medium,2024-01-13,2.88,50.23,No
1112,FORM-2022,2022-12-15,4.44,High,2024-12-31,4.69,83.09,No
1112,FORM-2023,2023-12-15,3.22,Medium,2024-12-31,3.72,65.76,No
1112,FORM-2024,2024-12-15,3.31,Medium,2024-12-31,3.23,69.66,No
1113,FORM-2022,2022-12-15,4.39,High,2022-03-01,4.59,97.45,No
1113,FORM-2023,2023-12-15,4.21,High,2022-03-01,4.32,91.54,No
1113,FORM-2024,2024-12-15,3.6,Medium,2022-03-01,3.45,63.53,No
1114,FORM-2022,2022-12-15,3.78,Medium,2022-01-01,3.6,77.13,No
1114,FORM-2023,2023-12-15,3.45,Medium,2022-01-01,3.37,66.57,No
1114,FORM-2024,2024-12-15,3.9,Medium,2022-01-01,4.31,75.48,No
1115,FORM-2022,2022-12-15,2.11,Low,,2.59,42.74,No
1115,FORM-2023,2023-12-15,2.22,Low,,2.14,49.53,No
1115,FORM-2024,2024-12-15,2.46,Low,,2.48,41.46,No
1116,FORM-2022,2022-12-15,2.11,Low,,2.39,44.72,No
1116,FORM-2023,2023-12-15,3.0,Medium,,2.57,56.51,No
1116,FORM-2024,2024-12-15,2.66,Medium,,2.83,65.69,No
1117,FORM-2022,2022-12-15,3.05,Medium,2016-05-24,2.83,56.44,No
1117,FORM-2023,2023-12-15,2.28,Low,2016-05-24,2.62,44.68,No
1117,FORM-2024,2024-12-15,2.63,Medium,2016-05-24,2.92,60.68,No
1118,FORM-2022,2022-12-15,2.79,Medium,2024-12-05,2.66,57.55,No
1118,FORM-2023,2023-12-15,2.1,Low,2024-12-05,2.22,46.08,No
1118,FORM-2024,2024-12-15,3.04,Medium,2024-12-05,3.22,60.9,No
1119,FORM-2022,2022-12-15,3.49,Medium,2023-05-19,3.84,70.47,No
1119,FORM-2023,2023-12-15,4.21,High,2023-05-19,4.42,82.62,No
1119,FORM-2024,2024-12-15,3.38,Medium,2023-05-19,3.21,74.9,No
1120,FORM-2023,2023-12-15,4.79,High,2024-12-31,4.73,97.58,Yes
1120,FORM-2024,2024-12-15,3.64,Medium,2024-12-31,3.66,71.81,No
1121,FORM-2022,2022-12-15,4.17,High,2024-12-31,3.8,78.16,No
1121,FORM-2023,2023-12-15,3.97,Medium,2024-12-31,3.99,80.6,No
1121,FORM-2024,2024-12-15,4.14,High,2024-12-31,4.44,76.5,No
1122,FORM-2024,2024-12-15,3.51,Medium,2024-12-31,3.78,70.74,No
1123,FORM-2022,2022-12-15,2.59,Medium,,2.89,40.8,No
1123,FORM-2023,2023-12-15,3.25,Medium,,3.3,57.35,No
1123,FORM-2024,2024-12-15,3.11,Medium,,3.56,71.24,No
1124,FORM-2022,2022-12-15,3.72,Medium,2022-03-26,3.89,77.62,No
1124,FORM-2023,2023-12-15,3.17,Medium,2022-03-26,3.81,57.44,No
1124,FORM-2024,2024-12-15,4.88,High,2022-03-26,4.87,99.19,Yes
1125,FORM-2023,2023-12-15,2.82,Medium,2024-12-31,3.17,67.14,No
1125,FORM-2024,2024-12-15,3.04,Medium,2024-12-31,2.88,56.61,No
1127,FORM-2022,2022-12-15,3.74,Medium,2022-07-05,3.18,65.15,No
1127,FORM-2023,2023-12-15,3.41,Medium,2022-07-05,3.49,65.3,No
1127,FORM-2024,2024-12-15,3.18,Medium,2022-07-05,2.75,61.26,No
1129,FORM-2022,2022-12-15,3.77,Medium,2024-12-31,3.84,78.84,No
1129,FORM-2023,2023-12-15,2.88,Medium,2024-12-31,3.27,44.93,No
1129,FORM-2024,2024-12-15,4.11,High,2024-12-31,4.0,88.1,No
1130,FORM-2022,2022-12-15,4.13,High,2024-12-31,4.08,80.72,No
1130,FORM-2023,2023-12-15,3.02,Medium,2024-12-31,3.0,56.02,No
1130,FORM-2024,2024-12-15,3.38,Medium,2024-12-31,3.1,67.66,No
1131,FORM-2023,2023-12-15,2.74,Medium,2024-12-31,2.96,51.55,No
1131,FORM-2024,2024-12-15,2.2,Low,2024-12-31,2.0,44.16,No
1132,FORM-2022,2022-12-15,2.03,Low,2024-06-08,2.36,39.18,No
1132,FORM-2023,2023-12-15,2.88,Medium,2024-06-08,2.91,61.57,No
1132,FORM-2024,2024-12-15,3.28,Medium,2024-06-08,3.09,61.27,No
1133,FORM-2022,2022-12-15,3.48,Medium,,2.95,63.51,No
1133,FORM-2023,2023-12-15,2.06,Low,,2.28,42.87,No
1133,FORM-2024,2024-12-15,2.66,Medium,,2.44,55.11,No
1134,FORM-2022,2022-12-15,3.37,Medium,2022-12-18,3.23,62.82,No
1134,FORM-2023,2023-12-15,3.49,Medium,2022-12-18,3.24,71.05,No
1134,FORM-2024,2024-12-15,4.0,High,2022-12-18,3.79,77.21,No
1135,FORM-2022,2022-12-15,3.16,Medium,2024-05-30,3.2,71.79,No
1135,FORM-2023,2023-12-15,2.82,Medium,2024-05-30,2.9,60.35,No
1135,FORM-2024,2024-12-15,2.45,Low,2024-05-30,2.18,40.73,No
1136,FORM-2022,2022-12-15,3.6,Medium,2022-10-16,3.55,73.51,No
1136,FORM-2023,2023-12-15,3.46,Medium,2022-10-16,3.51,72.98,No
1136,FORM-2024,2024-12-15,3.2,Medium,2022-10-16,3.39,67.64,No
1137,FORM-2024,2024-12-15,2.25,Low,2024-12-31,2.19,54.27,No
1138,FORM-2024,2024-12-15,4.74,High,2024-12-31,4.73,94.95,Yes
1139,FORM-2022,2022-12-15,2.58,Medium,2024-12-31,2.61,51.19,No
1139,FORM-2023,2023-12-15,3.12,Medium,2024-12-31,3.56,63.66,No
1139,FORM-2024,2024-12-15,2.9,Medium,2024-12-31,2.63,62.41,No
1140,FORM-2022,2022-12-15,3.53,Medium,2022-07-27,3.3,60.48,No
1140,FORM-2023,2023-12-15,3.78,Medium,2022-07-27,3.93,80.47,No
1140,FORM-2024,2024-12-15,3.97,Medium,2022-07-27,4.38,72.27,No
1141,FORM-2022,2022-12-15,3.5,Medium,2022-09-15,3.59,60.16,No
1141,FORM-2023,2023-12-15,3.3,Medium,2022-09-15,3.03,67.35,No
1141,FORM-2024,2024-12-15,2.98,Medium,2022-09-15,3.14,69.11,No
1142,FORM-2022,2022-12-15,3.74,Medium,2024-12-31,3.58,67.5,No
